word,cefr
knapp,A1
darin,A1
leitung,A1
leipzig,A1
spielen,A1
unterstützung,A1
viele,A1
politische,A1
paris,A1
schüler,A1
enthält,A1
daneben,A1
folgten,A1
umgebung,A1
langen,A1
früher,A1
weiterer,A1
wenn,A1
tätigkeit,A1
artikel,A1
stuttgart,A1
jährlich,A1
rang,A1
nehmen,A1
groß,A1
mannschaften,A1
hingegen,A1
blieben,A1
york,A1
darstellung,A1
position,A1
setzt,A1
gegeben,A1
zusätzlich,A1
1970,A1
hauptsächlich,A1
rennen,A1
heutige,A1
stellen,A1
wagen,A1
klasse,A1
absolvierte,A1
gerade,A1
gingen,A1
polizei,A1
stück,A1
1987,A1
kampf,A1
präsident,A1
anderer,A1
gebracht,A1
herrschaft,A1
1985,A1
zwölf,A1
kindern,A1
1972,A1
sitz,A1
jeweiligen,A1
zusammenhang,A1
runde,A1
thema,A1
verfügt,A1
weltweit,A1
17,A1
lebte,A1
1986,A1
dient,A1
bleiben,A1
kultur,A1
vorsitzender,A1
bedeutet,A1
erscheint,A1
spielen,A1
wechselte,A1
paul,A1
ich,A1
anteil,A1
quellen,A1
zeitung,A1
hans,A1
außerhalb,A1
wilhelm,A1
kopf,A1
geworden,A1
markt,A1
erschienen,A1
lebt,A1
mehrfach,A1
1980,A1
köln,A1
erkennen,A1
beteiligt,A1
ehemalige,A1
werde,A1
fiel,A1
vergleich,A1
jungen,A1
weist,A1
london,A1
wuchs,A1
dritte,A1
frei,A1
hält,A1
gelände,A1
italien,A1
fahrzeuge,A1
noch,A1
schloss,A1
basis,A1
bürgermeister,A1
beendete,A1
heißt,A1
wahrscheinlich,A1
1974,A1
größeren,A1
see,A1
wegen,A1
stets,A1
endete,A1
geschlossen,A1
trotz,A1
wenigen,A1
ernannt,A1
allein,A1
daher,A1
verwendung,A1
brücke,A1
england,A1
gehalten,A1
legte,A1
hof,A1
stil,A1
späteren,A1
würden,A1
michael,A1
wert,A1
1984,A1
übernommen,A1
ausgabe,A1
trotz,A1
breit,A1
herbst,A1
probleme,A1
betrieben,A1
weiß,A1
verließ,A1
kapelle,A1
punkte,A1
1971,A1
gründen,A1
